,id_site,t,sens,nb_usagers,label,trajectoire,voie,id_trajectoire,coordonnees_geo,mode
774,10030,2023-04-23T05:00:00+00:00,S-N,20,[Paris] CF1 Rivoli x Sébastopol,1 -> 1,Voie de circulation générale,10030_1 -> 1,"[48.858628, 2.348208]",2 roues motorisées
775,10030,2023-04-23T08:00:00+00:00,S-N,8,[Paris] CF1 Rivoli x Sébastopol,1 -> 1,Voie de circulation générale,10030_1 -> 1,"[48.858628, 2.348208]",Autobus et autocars
776,10030,2023-04-23T09:00:00+00:00,S-N,143,[Paris] CF1 Rivoli x Sébastopol,3 -> 2,Piste cyclable,10030_3 -> 2,"[48.858628, 2.348208]",Vélos
777,10030,2023-04-23T10:00:00+00:00,S-N,2,[Paris] CF1 Rivoli x Sébastopol,2 -> 1,Voie de circulation générale,10030_2 -> 1,"[48.858628, 2.348208]",Autobus et autocars
778,10030,2023-04-23T10:00:00+00:00,N-S,1,[Paris] CF1 Rivoli x Sébastopol,4 -> 2,Piste cyclable,10030_4 -> 2,"[48.858628, 2.348208]","Véhicules légers < 3,5t"
779,10030,2023-04-23T13:00:00+00:00,S-N,145,[Paris] CF1 Rivoli x Sébastopol,1 -> 1,Voie de circulation générale,10030_1 -> 1,"[48.858628, 2.348208]","Véhicules légers < 3,5t"
780,10030,2023-04-23T14:00:00+00:00,N-S,172,[Paris] CF1 Rivoli x Sébastopol,4 -> 2,Piste cyclable,10030_4 -> 2,"[48.858628, 2.348208]",Vélos
781,10030,2023-04-23T14:00:00+00:00,S-N,43,[Paris] CF1 Rivoli x Sébastopol,1 -> 1,Voie de circulation générale,10030_1 -> 1,"[48.858628, 2.348208]",2 roues motorisées
782,10030,2023-04-23T14:00:00+00:00,S-N,1,[Paris] CF1 Rivoli x Sébastopol,1 -> 1,Voie de circulation générale,10030_1 -> 1,"[48.858628, 2.348208]","Véhicules lourds > 3,5t"
783,10030,2023-04-23T15:00:00+00:00,N-S,28,[Paris] CF1 Rivoli x Sébastopol,4 -> 2,Piste cyclable,10030_4 -> 2,"[48.858628, 2.348208]",Trottinettes
784,10030,2023-04-23T16:00:00+00:00,S-N,17,[Paris] CF1 Rivoli x Sébastopol,3 -> 2,Piste cyclable,10030_3 -> 2,"[48.858628, 2.348208]",Trottinettes
785,10030,2023-04-23T17:00:00+00:00,N-S,254,[Paris] CF1 Rivoli x Sébastopol,4 -> 2,Piste cyclable,10030_4 -> 2,"[48.858628, 2.348208]",Vélos
786,10030,2023-04-23T18:00:00+00:00,S-N,11,[Paris] CF1 Rivoli x Sébastopol,2 -> 1,Voie de circulation générale,10030_2 -> 1,"[48.858628, 2.348208]",Vélos
787,10030,2023-04-23T19:00:00+00:00,S-N,8,[Paris] CF1 Rivoli x Sébastopol,1 -> 1,Voie de circulation générale,10030_1 -> 1,"[48.858628, 2.348208]",Vélos
788,10030,2023-04-23T19:00:00+00:00,S-N,70,[Paris] CF1 Rivoli x Sébastopol,2 -> 1,Voie de circulation générale,10030_2 -> 1,"[48.858628, 2.348208]",2 roues motorisées
789,10030,2023-04-23T19:00:00+00:00,S-N,1,[Paris] CF1 Rivoli x Sébastopol,2 -> 1,Voie de circulation générale,10030_2 -> 1,"[48.858628, 2.348208]","Véhicules lourds > 3,5t"
790,10030,2023-04-23T21:00:00+00:00,S-N,128,[Paris] CF1 Rivoli x Sébastopol,3 -> 2,Piste cyclable,10030_3 -> 2,"[48.858628, 2.348208]",Vélos
791,10081,2023-04-23T00:00:00+00:00,,2,,2 -> 2,,10081_2 -> 2,,Trottinettes
792,10081,2023-04-23T01:00:00+00:00,,136,,2 -> 2,,10081_2 -> 2,,"Véhicules légers < 3,5t"
793,10081,2023-04-23T03:00:00+00:00,,1,,1 -> 1,,10081_1 -> 1,,"Véhicules lourds > 3,5t"
794,10081,2023-04-23T07:00:00+00:00,,3,,2 -> 2,,10081_2 -> 2,,"Véhicules lourds > 3,5t"
795,10081,2023-04-23T08:00:00+00:00,,28,,1 -> 1,,10081_1 -> 1,,Trottinettes + vélos
796,10081,2023-04-23T08:00:00+00:00,,46,,2 -> 2,,10081_2 -> 2,,Trottinettes + vélos
797,10081,2023-04-23T08:00:00+00:00,,2,,2 -> 2,,10081_2 -> 2,,"Véhicules lourds > 3,5t"
798,10081,2023-04-23T09:00:00+00:00,,375,,1 -> 1,,10081_1 -> 1,,"Véhicules légers < 3,5t"
799,10081,2023-04-23T14:00:00+00:00,,375,,1 -> 1,,10081_1 -> 1,,"Véhicules légers < 3,5t"
